页面,场景,赛事状态,市场状态,是否可参与,主提示文案,次提示文案,是否显示规则入口,是否显示结果反馈,备注
规则说明层,已开始但首期市场关闭,live,suspended,no,查看当前规则说明,首期不开放该场景参与动作,yes,no,仍可解释关闭原因
规则说明层,比赛中断,interrupted,suspended,no,查看中断与48h规则说明,当前问题暂不可参与,yes,no,规则层用于承接说明
规则说明层,比赛被放弃或当日未能完成,abandoned,void,no,查看异常结束说明,说明为何进入作废或异常终态,yes,no,解释用途
规则说明层,48h 内恢复,live,open,no,查看恢复后的规则说明,相关问题按规则继续处理,yes,no,规则层不展示结果主反馈
规则说明层,48h 外未恢复,cancelled,void,no,查看作废规则说明,未决问题按规则作废,yes,no,结果主反馈在结果区
规则说明层,已结束,completed,settled,no,查看结果相关规则说明,可返回详情页查看结果,yes,no,规则层不替代结果区
规则说明层,void,completed,void,no,查看作废说明,说明为何不是正常输赢结果,yes,no,解释用途
规则说明层,cancelled,cancelled,cancelled,no,查看取消说明,说明异常取消原因,yes,no,解释用途
规则说明层,corrected,corrected,corrected,no,查看修正说明,说明结果已更新,yes,no,解释用途
结果反馈区,未开赛,scheduled,upcoming,no,暂无结果反馈,比赛结束后显示结果,yes,no,未开赛不显示结果
结果反馈区,可参与,scheduled,open,no,暂无结果反馈,当前为进行前可参与阶段,yes,no,结果区可占位但不展示结果
结果反馈区,已开始但首期市场关闭,live,suspended,no,结果待定,比赛已开始且当前不开放首期参与,yes,no,不展示完整 live 结算信息
结果反馈区,比赛中断,interrupted,suspended,no,结果待定,比赛中断，等待后续处理,yes,no,等待后续状态
结果反馈区,比赛被放弃或当日未能完成,abandoned,void,no,结果待定或异常结束,请以最终作废或结算结果为准,yes,yes,前台承接为异常结束说明
结果反馈区,48h 内恢复,live,open,no,结果待定,比赛恢复后将继续按规则处理,yes,no,不提前给最终结果
结果反馈区,48h 外未恢复,cancelled,void,no,本问题作废,未在规则窗口内恢复完成,yes,yes,展示 void 结果
结果反馈区,已结束,completed,settled,no,已结束,显示最终结果与结算反馈,yes,yes,正常结果展示场景
结果反馈区,void,completed,void,no,本问题作废,该结果不按正常输赢路径处理,yes,yes,需清楚区别于取消
结果反馈区,cancelled,cancelled,cancelled,no,本问题已取消,因异常窗口或规则触发取消,yes,yes,异常结果展示场景
结果反馈区,corrected,corrected,corrected,no,结果已修正,请以当前结果为准,yes,yes,展示修正后的最终信息
